epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3462.17,0.73094,0.47317,0.90157,0.95288,0.88506,0.91877,0.72928,0.57083,0.38433,0.85961,0.0005941,0.0005941,0.0005941
43,3544.34,0.70869,0.4607,0.89685,0.94767,0.88717,0.9198,0.72906,0.56969,0.38689,0.86071,0.0005842,0.0005842,0.0005842
44,3626.75,0.70322,0.45552,0.89502,0.94538,0.88529,0.91787,0.73022,0.55836,0.38102,0.85664,0.0005743,0.0005743,0.0005743
45,3709.83,0.70265,0.45302,0.89298,0.94763,0.87694,0.91959,0.7267,0.55793,0.3789,0.856,0.0005644,0.0005644,0.0005644
46,3792.14,0.69852,0.44758,0.89109,0.93517,0.89286,0.92103,0.73388,0.5566,0.37371,0.8555,0.0005545,0.0005545,0.0005545
47,3874.16,0.70257,0.45121,0.89087,0.94368,0.87673,0.91068,0.7296,0.55306,0.37529,0.85435,0.0005446,0.0005446,0.0005446
48,3956.35,0.68985,0.44279,0.88672,0.94431,0.87897,0.91057,0.73024,0.55442,0.3735,0.85642,0.0005347,0.0005347,0.0005347
49,4038.65,0.69756,0.448,0.89315,0.95273,0.88611,0.91963,0.73506,0.55604,0.37663,0.85707,0.0005248,0.0005248,0.0005248
50,4120.04,0.69025,0.44429,0.88908,0.95257,0.87488,0.91217,0.72959,0.55599,0.37637,0.85715,0.0005149,0.0005149,0.0005149
51,4201.91,0.69604,0.45072,0.89077,0.95283,0.8776,0.91689,0.73739,0.55073,0.36977,0.85496,0.000505,0.000505,0.000505
52,4285.31,0.68435,0.44049,0.88967,0.94577,0.88174,0.91399,0.73098,0.54805,0.37424,0.85396,0.0004951,0.0004951,0.0004951
53,4369.73,0.69672,0.44667,0.8929,0.94745,0.88291,0.9156,0.73435,0.54484,0.37114,0.853,0.0004852,0.0004852,0.0004852
54,4452.07,0.6823,0.43719,0.88745,0.96305,0.86509,0.91714,0.73173,0.54581,0.37584,0.85101,0.0004753,0.0004753,0.0004753
55,4536.64,0.68772,0.4416,0.88934,0.9565,0.87392,0.91721,0.73763,0.53856,0.36463,0.84974,0.0004654,0.0004654,0.0004654
56,4620.34,0.67984,0.43533,0.88803,0.94671,0.87516,0.91162,0.73245,0.54508,0.36855,0.85324,0.0004555,0.0004555,0.0004555
57,4704.57,0.69096,0.44103,0.88866,0.95033,0.88483,0.91836,0.7375,0.53773,0.36321,0.85199,0.0004456,0.0004456,0.0004456
58,4788.27,0.67572,0.43166,0.88511,0.95511,0.87944,0.91766,0.73652,0.54341,0.36416,0.85169,0.0004357,0.0004357,0.0004357
59,4872.15,0.67578,0.43494,0.88698,0.94751,0.89591,0.92205,0.73643,0.54226,0.36335,0.85094,0.0004258,0.0004258,0.0004258
60,4956.24,0.67606,0.43385,0.88756,0.94272,0.8865,0.9203,0.74053,0.52926,0.35744,0.84718,0.0004159,0.0004159,0.0004159
61,5040.02,0.67175,0.42717,0.88291,0.95422,0.88363,0.92235,0.74004,0.54366,0.35993,0.85256,0.000406,0.000406,0.000406
62,5124.06,0.67567,0.43184,0.88544,0.95146,0.89285,0.92679,0.74818,0.53155,0.35655,0.84906,0.0003961,0.0003961,0.0003961
63,5207.83,0.66783,0.42705,0.88386,0.95988,0.8896,0.92481,0.74054,0.53437,0.36102,0.85014,0.0003862,0.0003862,0.0003862
64,5291.51,0.66496,0.42391,0.88235,0.95578,0.89862,0.92777,0.74713,0.53707,0.35889,0.85049,0.0003763,0.0003763,0.0003763
65,5375.56,0.66866,0.42264,0.88239,0.95389,0.88378,0.92396,0.74475,0.53167,0.35785,0.84952,0.0003664,0.0003664,0.0003664
66,5457.93,0.67398,0.42991,0.88736,0.95751,0.88929,0.92409,0.74335,0.53706,0.35778,0.85181,0.0003565,0.0003565,0.0003565
67,5540.25,0.66389,0.4256,0.88269,0.9666,0.88107,0.92293,0.74887,0.53003,0.3538,0.8488,0.0003466,0.0003466,0.0003466
68,5621.95,0.65862,0.4232,0.87947,0.95333,0.88882,0.92393,0.75111,0.52882,0.35692,0.84876,0.0003367,0.0003367,0.0003367
69,5704.59,0.66646,0.42615,0.88459,0.95658,0.89278,0.92625,0.74841,0.53386,0.35755,0.85096,0.0003268,0.0003268,0.0003268
70,5786.74,0.65494,0.41713,0.87926,0.96697,0.8843,0.92915,0.74753,0.52891,0.3508,0.84857,0.0003169,0.0003169,0.0003169
71,5868.95,0.65929,0.41605,0.88192,0.96084,0.88011,0.9239,0.74558,0.52543,0.35114,0.84763,0.000307,0.000307,0.000307
72,5950.75,0.6542,0.41798,0.8817,0.96026,0.88453,0.92874,0.75242,0.52242,0.34982,0.84634,0.0002971,0.0002971,0.0002971
73,6032.7,0.64872,0.41102,0.87797,0.95464,0.88531,0.92293,0.75026,0.52949,0.35142,0.84764,0.0002872,0.0002872,0.0002872
74,6114.38,0.6477,0.40867,0.87625,0.96568,0.88907,0.93115,0.75404,0.52359,0.34666,0.84569,0.0002773,0.0002773,0.0002773
75,6196.02,0.65746,0.41313,0.88154,0.96172,0.88646,0.92518,0.74846,0.52143,0.34679,0.84858,0.0002674,0.0002674,0.0002674
76,6278.34,0.64011,0.40851,0.87492,0.95736,0.89009,0.9263,0.7503,0.51836,0.34735,0.84797,0.0002575,0.0002575,0.0002575
77,6361.09,0.64799,0.40936,0.88034,0.95931,0.88665,0.92322,0.74915,0.51719,0.34716,0.84563,0.0002476,0.0002476,0.0002476
78,6441.92,0.6523,0.41183,0.87793,0.9571,0.88958,0.92478,0.75056,0.51936,0.34788,0.84739,0.0002377,0.0002377,0.0002377
79,6522.83,0.63886,0.40599,0.87521,0.95628,0.88861,0.92578,0.74633,0.51932,0.34577,0.84733,0.0002278,0.0002278,0.0002278
