epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.827,1.69603,3.24595,1.29088,0.04746,0.22616,0.14785,0.08244,1.1773,3.02124,1.04153,0.0003625,0.0003625,0.0003625
2,17.384,1.54647,1.90959,1.16499,0.8867,0.2297,0.24736,0.14171,1.30048,1.69273,1.08744,0.000730199,0.000730199,0.000730199
3,23.7365,1.48619,1.69369,1.15531,0.88635,0.20785,0.2338,0.13289,1.46516,1.63475,1.16047,0.00109047,0.00109047,0.00109047
4,30.0861,1.55048,1.69394,1.17066,0.90457,0.22984,0.28122,0.17679,1.27017,1.50122,1.13403,0.00121287,0.00121287,0.00121287
5,36.3912,1.4071,1.50342,1.16437,0.74854,0.38907,0.41349,0.27576,1.20913,1.46702,1.12534,0.0012005,0.0012005,0.0012005
6,42.7369,1.36837,1.35013,1.13158,0.81418,0.39489,0.46734,0.31345,1.25277,1.21909,1.13239,0.00118812,0.00118812,0.00118812
7,49.0963,1.40897,1.4041,1.12891,0.88068,0.41589,0.51159,0.35364,1.19897,1.09103,1.10202,0.00117575,0.00117575,0.00117575
8,55.3029,1.33138,1.25965,1.09609,0.8499,0.49147,0.65166,0.4676,1.06994,1.07571,1.04151,0.00116337,0.00116337,0.00116337
9,61.3512,1.29037,1.20487,1.09772,0.95737,0.46987,0.69433,0.48126,1.13799,1.02821,1.04771,0.001151,0.001151,0.001151
10,67.6222,1.29525,1.17393,1.09259,0.91259,0.66026,0.73727,0.53104,1.04819,0.93253,1.02128,0.00113863,0.00113863,0.00113863
11,73.8629,1.28588,1.0965,1.08079,0.92848,0.66676,0.76238,0.57017,1.04466,0.87618,1.02514,0.00112625,0.00112625,0.00112625
12,80.3149,1.22657,1.08213,1.06478,0.85823,0.73228,0.77994,0.57557,1.01671,0.93304,1.02203,0.00111388,0.00111388,0.00111388
13,86.4821,1.22902,1.02181,1.05276,0.91616,0.75854,0.79983,0.55287,1.07907,0.87107,1.02259,0.0011015,0.0011015,0.0011015
14,92.6526,1.21485,1.05259,1.07035,0.86784,0.77007,0.80181,0.57458,1.03416,0.85375,1.02695,0.00108913,0.00108913,0.00108913
15,99.0263,1.24686,1.05378,1.08691,0.96788,0.73334,0.81941,0.60089,1.05531,0.82586,1.03982,0.00107675,0.00107675,0.00107675
16,105.12,1.20395,0.9874,1.04646,0.87828,0.73611,0.81643,0.59729,1.0261,0.78867,1.02795,0.00106437,0.00106437,0.00106437
17,111.329,1.13333,0.94627,1.03156,0.83461,0.81305,0.82016,0.59464,0.97867,0.78177,1.00907,0.001052,0.001052,0.001052
18,117.74,1.17881,0.92565,1.05113,0.88467,0.80528,0.82059,0.61423,0.94862,0.7627,0.99578,0.00103962,0.00103962,0.00103962
19,124.921,1.13345,0.92117,1.02117,0.86165,0.81342,0.8262,0.61856,0.97303,0.75251,0.99605,0.00102725,0.00102725,0.00102725
20,131.425,1.06918,0.88005,1.0002,0.85639,0.8299,0.83715,0.61517,0.98676,0.74416,0.99583,0.00101488,0.00101488,0.00101488
21,137.881,1.10989,0.9046,1.01229,0.95723,0.7613,0.84798,0.61528,0.94147,0.7269,1.00051,0.0010025,0.0010025,0.0010025
22,144.795,1.13114,0.88642,1.01428,0.93778,0.78973,0.85895,0.62539,0.9342,0.71555,1.0037,0.000990125,0.000990125,0.000990125
23,151.043,1.03902,0.87046,1.00387,0.94164,0.78702,0.87018,0.62613,0.96329,0.71183,1.0063,0.00097775,0.00097775,0.00097775
24,157.446,1.0639,0.86357,0.99812,0.95658,0.78607,0.87399,0.63662,0.93537,0.71759,0.98763,0.000965375,0.000965375,0.000965375
25,163.981,1.05013,0.81808,1.00022,0.98118,0.80797,0.87732,0.65377,0.92193,0.69652,0.97596,0.000953,0.000953,0.000953
26,170.299,1.03493,0.85764,0.99545,0.90681,0.85182,0.8745,0.63614,0.89164,0.70028,0.96769,0.000940625,0.000940625,0.000940625
27,176.686,0.9828,0.8314,0.99398,0.94734,0.79944,0.85409,0.65067,0.86605,0.66213,0.95606,0.00092825,0.00092825,0.00092825
28,183.198,1.02978,0.83922,0.99354,0.93497,0.81714,0.85811,0.65142,0.87588,0.66336,0.95363,0.000915875,0.000915875,0.000915875
29,189.706,1.04078,0.8092,0.97918,0.97197,0.8401,0.87894,0.65215,0.88471,0.6457,0.96129,0.0009035,0.0009035,0.0009035
30,196.044,1.05988,0.83986,0.99923,0.96478,0.84077,0.87889,0.64036,0.87089,0.6477,0.96201,0.000891125,0.000891125,0.000891125
31,202.487,0.98675,0.77331,0.9713,0.96205,0.8474,0.88534,0.64284,0.84662,0.67112,0.96029,0.00087875,0.00087875,0.00087875
32,208.743,0.97242,0.81123,0.96999,0.94394,0.82037,0.87632,0.65041,0.84701,0.65472,0.95371,0.000866375,0.000866375,0.000866375
33,215.238,0.99363,0.77805,0.97839,0.92091,0.8455,0.87655,0.6493,0.86353,0.63693,0.96244,0.000854,0.000854,0.000854
34,221.545,0.97199,0.75783,0.97655,0.94042,0.84169,0.88404,0.66636,0.87827,0.62168,0.95922,0.000841625,0.000841625,0.000841625
35,227.893,0.98125,0.74352,0.96814,0.94404,0.84077,0.89689,0.65259,0.85554,0.63143,0.95519,0.00082925,0.00082925,0.00082925
36,234.101,0.97702,0.76248,0.95987,0.94759,0.83097,0.88437,0.64098,0.8191,0.61348,0.94615,0.000816875,0.000816875,0.000816875
37,240.442,0.96983,0.75838,0.96524,0.97321,0.84622,0.89132,0.64318,0.84862,0.60075,0.96314,0.0008045,0.0008045,0.0008045
38,246.731,0.95753,0.75188,0.96512,0.97482,0.84914,0.89179,0.65031,0.84258,0.59866,0.96478,0.000792125,0.000792125,0.000792125
39,253.081,0.98347,0.74422,0.95921,0.9512,0.8342,0.88882,0.6611,0.84254,0.59234,0.95583,0.00077975,0.00077975,0.00077975
40,259.258,0.97361,0.73754,0.96036,0.91583,0.87205,0.89087,0.66427,0.82689,0.58722,0.94443,0.000767375,0.000767375,0.000767375
