epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.306,1.16985,1.89994,1.06684,0.95935,0.49849,0.54025,0.40584,0.90974,0.85404,0.97664,0.000332207,0.000332207,0.000332207
2,187.309,0.96672,0.84587,0.97609,0.92768,0.58907,0.64343,0.48341,0.77906,0.67124,0.93155,0.000658952,0.000658952,0.000658952
3,281.756,0.913,0.73803,0.94732,0.9265,0.59013,0.66556,0.49858,0.77065,0.65656,0.92666,0.000979096,0.000979096,0.000979096
4,379.819,0.87552,0.68547,0.94106,0.94443,0.6106,0.67761,0.50011,0.76724,0.60419,0.91488,0.0009703,0.0009703,0.0009703
5,477.203,0.862,0.65801,0.93276,0.92003,0.65145,0.69795,0.51708,0.71325,0.56615,0.90919,0.0009604,0.0009604,0.0009604
6,571.113,0.82928,0.61882,0.92517,0.93351,0.65039,0.69635,0.52401,0.70051,0.52664,0.89855,0.0009505,0.0009505,0.0009505
7,657.509,0.80683,0.59558,0.91914,0.9278,0.67058,0.70894,0.53142,0.68623,0.52373,0.8956,0.0009406,0.0009406,0.0009406
