epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,867.101,1.09527,1.0249,0.0035,0.86817,0.75453,0.82326,0.61523,0.85739,0.63533,0.00413,0.0009505,0.0009505,0.0009505
7,1019.01,1.09112,0.96826,0.00335,0.87849,0.75697,0.8317,0.6255,0.83548,0.60637,0.00395,0.0009406,0.0009406,0.0009406
8,1174.02,1.08104,0.91788,0.00339,0.89406,0.77365,0.84342,0.6395,0.82131,0.56933,0.00389,0.0009307,0.0009307,0.0009307
9,1309.62,1.06566,0.87747,0.00332,0.88157,0.78327,0.85221,0.65068,0.79489,0.55183,0.00372,0.0009208,0.0009208,0.0009208
10,1439.59,1.06295,0.8309,0.00326,0.87449,0.79649,0.85677,0.64739,0.80662,0.53337,0.00377,0.0009109,0.0009109,0.0009109
11,1575.41,1.03514,0.79321,0.00321,0.88012,0.81141,0.86503,0.65981,0.79572,0.53368,0.00376,0.000901,0.000901,0.000901
12,1697.4,1.0245,0.75934,0.0031,0.89458,0.79917,0.86204,0.66286,0.78758,0.50462,0.00372,0.0008911,0.0008911,0.0008911
13,1818.19,1.02439,0.73994,0.00315,0.90865,0.81044,0.87075,0.67111,0.77595,0.50517,0.00366,0.0008812,0.0008812,0.0008812
14,1944.1,1.01278,0.7258,0.00313,0.90894,0.80001,0.86957,0.66189,0.79148,0.50145,0.00371,0.0008713,0.0008713,0.0008713
15,2073.69,1.01522,0.72109,0.0031,0.92162,0.80771,0.87629,0.67686,0.75846,0.48145,0.00354,0.0008614,0.0008614,0.0008614
16,2199.59,1.01297,0.71137,0.00314,0.89618,0.81807,0.87736,0.68607,0.75011,0.45607,0.00354,0.0008515,0.0008515,0.0008515
17,2324.16,0.99383,0.68204,0.00305,0.92382,0.81952,0.87814,0.67905,0.76006,0.46281,0.00353,0.0008416,0.0008416,0.0008416
18,2446.83,0.98696,0.66441,0.00293,0.88225,0.83943,0.88227,0.67926,0.75466,0.46247,0.00339,0.0008317,0.0008317,0.0008317
